date,open,,high,,low,,close,
2019-02-04 23.45.00.000,1.14345,143450,1.14367,143670,1.14344,143440,1.14363,143630
2019-02-05 00.00.00.000,1.14362,143620,1.14382,143820,1.14348,143480,1.14348,143480
2019-02-05 00.15.00.000,1.14346,143460,1.14365,143650,1.14328,143280,1.14348,143480
2019-02-05 00.30.00.000,1.14347,143470,1.1437,143700,1.14342,143420,1.14368,143680
2019-02-05 00.45.00.000,1.14367,143670,1.1439,143900,1.14356,143560,1.14369,143690
2019-02-05 01.00.00.000,1.1437,143700,1.1438,143800,1.14348,143480,1.14357,143570
2019-02-05 01.15.00.000,1.14358,143580,1.14371,143710,1.14353,143530,1.1437,143700
2019-02-05 01.30.00.000,1.14369,143690,1.14376,143760,1.14358,143580,1.14374,143740
2019-02-05 01.45.00.000,1.14373,143730,1.14393,143930,1.1437,143700,1.14386,143860
2019-02-05 02.00.00.000,1.14387,143870,1.14395,143950,1.14379,143790,1.1438,143800
2019-02-05 02.15.00.000,1.14376,143760,1.14387,143870,1.14372,143720,1.14386,143860
2019-02-05 02.30.00.000,1.14385,143850,1.14399,143990,1.14379,143790,1.14394,143940
2019-02-05 02.45.00.000,1.14395,143950,1.14403,144030,1.14375,143750,1.14375,143750
2019-02-05 03.00.00.000,1.14378,143780,1.1439,143900,1.14374,143740,1.1439,143900
2019-02-05 03.15.00.000,1.14389,143890,1.1439,143900,1.14364,143640,1.14364,143640
2019-02-05 03.30.00.000,1.14363,143630,1.14374,143740,1.14354,143540,1.14368,143680
2019-02-05 03.45.00.000,1.14365,143650,1.14379,143790,1.14343,143430,1.14356,143560
2019-02-05 04.00.00.000,1.14355,143550,1.14355,143550,1.14318,143180,1.14328,143280
2019-02-05 04.15.00.000,1.14332,143320,1.14343,143430,1.14304,143040,1.14323,143230
2019-02-05 04.30.00.000,1.14322,143220,1.14331,143310,1.14316,143160,1.14328,143280
2019-02-05 04.45.00.000,1.14329,143290,1.14333,143330,1.14315,143150,1.14326,143260
2019-02-05 05.00.00.000,1.14324,143240,1.14345,143450,1.14319,143190,1.14319,143190
2019-02-05 05.15.00.000,1.14315,143150,1.14342,143420,1.14307,143070,1.14341,143410
2019-02-05 05.30.00.000,1.1434,143400,1.14346,143460,1.14329,143290,1.14334,143340
2019-02-05 05.45.00.000,1.14331,143310,1.14337,143370,1.14324,143240,1.14328,143280
2019-02-05 06.00.00.000,1.14329,143290,1.14355,143550,1.14325,143250,1.1434,143400
2019-02-05 06.15.00.000,1.14339,143390,1.14339,143390,1.14288,142880,1.14314,143140
2019-02-05 06.30.00.000,1.14313,143130,1.14325,143250,1.14305,143050,1.14309,143090
2019-02-05 06.45.00.000,1.14308,143080,1.1432,143200,1.14297,142970,1.143,143000
2019-02-05 07.00.00.000,1.14304,143040,1.14331,143310,1.14299,142990,1.14326,143260
2019-02-05 07.15.00.000,1.14325,143250,1.14325,143250,1.14286,142860,1.14296,142960
2019-02-05 07.30.00.000,1.14297,142970,1.143,143000,1.14222,142220,1.14266,142660
2019-02-05 07.45.00.000,1.14265,142650,1.14265,142650,1.14211,142110,1.14231,142310
2019-02-05 08.00.00.000,1.14232,142320,1.14249,142490,1.14216,142160,1.14249,142490
2019-02-05 08.15.00.000,1.14248,142480,1.14251,142510,1.14164,141640,1.14168,141680
2019-02-05 08.30.00.000,1.14167,141670,1.1419,141900,1.14135,141350,1.14149,141490
2019-02-05 08.45.00.000,1.14146,141460,1.14169,141690,1.1412,141200,1.14135,141350
2019-02-05 09.00.00.000,1.14133,141330,1.14147,141470,1.14114,141140,1.14134,141340
2019-02-05 09.15.00.000,1.14135,141350,1.14253,142530,1.14134,141340,1.14249,142490
2019-02-05 09.30.00.000,1.1425,142500,1.14253,142530,1.14191,141910,1.14196,141960
2019-02-05 09.45.00.000,1.14192,141920,1.14213,142130,1.14153,141530,1.14203,142030
2019-02-05 10.00.00.000,1.14202,142020,1.14213,142130,1.14189,141890,1.14191,141910
2019-02-05 10.15.00.000,1.1419,141900,1.14209,142090,1.14169,141690,1.14199,141990
2019-02-05 10.30.00.000,1.142,142000,1.1421,142100,1.1418,141800,1.14198,141980
2019-02-05 10.45.00.000,1.14197,141970,1.14225,142250,1.14184,141840,1.14205,142050
2019-02-05 11.00.00.000,1.14206,142060,1.14215,142150,1.14165,141650,1.14172,141720
2019-02-05 11.15.00.000,1.14171,141710,1.14182,141820,1.1413,141300,1.14149,141490
2019-02-05 11.30.00.000,1.1415,141500,1.14166,141660,1.14124,141240,1.14161,141610
2019-02-05 11.45.00.000,1.1416,141600,1.14165,141650,1.14125,141250,1.14165,141650
2019-02-05 12.00.00.000,1.14166,141660,1.14219,142190,1.14161,141610,1.14212,142120
2019-02-05 12.15.00.000,1.14213,142130,1.14251,142510,1.14194,141940,1.14239,142390
2019-02-05 12.30.00.000,1.14238,142380,1.14268,142680,1.14196,141960,1.14256,142560
2019-02-05 12.45.00.000,1.14254,142540,1.14296,142960,1.14236,142360,1.14236,142360
2019-02-05 13.00.00.000,1.14231,142310,1.14249,142490,1.1419,141900,1.14203,142030
2019-02-05 13.15.00.000,1.14204,142040,1.14239,142390,1.14195,141950,1.14222,142220
2019-02-05 13.30.00.000,1.14224,142240,1.14225,142250,1.14167,141670,1.14204,142040
2019-02-05 13.45.00.000,1.14203,142030,1.14331,143310,1.14193,141930,1.14323,143230
2019-02-05 14.00.00.000,1.14324,143240,1.14324,143240,1.14283,142830,1.14286,142860
2019-02-05 14.15.00.000,1.14287,142870,1.14336,143360,1.14287,142870,1.14301,143010
2019-02-05 14.30.00.000,1.14302,143020,1.14317,143170,1.14251,142510,1.14256,142560
2019-02-05 14.45.00.000,1.14255,142550,1.1428,142800,1.14192,141920,1.14237,142370
2019-02-05 15.00.00.000,1.14236,142360,1.14252,142520,1.14115,141150,1.14141,141410
2019-02-05 15.15.00.000,1.14147,141470,1.14178,141780,1.1405,140500,1.14106,141060
2019-02-05 15.30.00.000,1.14105,141050,1.14112,141120,1.14049,140490,1.14095,140950
2019-02-05 15.45.00.000,1.14097,140970,1.14136,141360,1.1408,140800,1.14114,141140
2019-02-05 16.00.00.000,1.14113,141130,1.14157,141570,1.14063,140630,1.14064,140640
2019-02-05 16.15.00.000,1.14065,140650,1.14105,141050,1.14019,140190,1.14023,140230
2019-02-05 16.30.00.000,1.14022,140220,1.14094,140940,1.1401,140100,1.14055,140550
2019-02-05 16.45.00.000,1.14056,140560,1.14087,140870,1.14056,140560,1.14081,140810
2019-02-05 17.00.00.000,1.1408,140800,1.141,141000,1.14028,140280,1.1405,140500
2019-02-05 17.15.00.000,1.14052,140520,1.14052,140520,1.14017,140170,1.14041,140410
2019-02-05 17.30.00.000,1.1404,140400,1.1409,140900,1.1404,140400,1.14088,140880
2019-02-05 17.45.00.000,1.1409,140900,1.14117,141170,1.1407,140700,1.14094,140940
2019-02-05 18.00.00.000,1.14092,140920,1.14096,140960,1.14067,140670,1.14092,140920
2019-02-05 18.15.00.000,1.14091,140910,1.1417,141700,1.14091,140910,1.14144,141440
2019-02-05 18.30.00.000,1.14143,141430,1.14168,141680,1.14125,141250,1.14155,141550
2019-02-05 18.45.00.000,1.14156,141560,1.14171,141710,1.14129,141290,1.14131,141310
2019-02-05 19.00.00.000,1.1413,141300,1.1414,141400,1.1411,141100,1.14124,141240
2019-02-05 19.15.00.000,1.14122,141220,1.14123,141230,1.14102,141020,1.14117,141170
2019-02-05 19.30.00.000,1.14119,141190,1.14122,141220,1.14099,140990,1.14115,141150
2019-02-05 19.45.00.000,1.14114,141140,1.14129,141290,1.141,141000,1.14114,141140
2019-02-05 20.00.00.000,1.14115,141150,1.14131,141310,1.1409,140900,1.14091,140910
2019-02-05 20.15.00.000,1.14093,140930,1.14111,141110,1.14086,140860,1.14093,140930
2019-02-05 20.30.00.000,1.14095,140950,1.141,141000,1.14085,140850,1.14099,140990
2019-02-05 20.45.00.000,1.141,141000,1.14118,141180,1.14095,140950,1.14114,141140
2019-02-05 21.00.00.000,1.14116,141160,1.14127,141270,1.141,141000,1.14126,141260
2019-02-05 21.15.00.000,1.14128,141280,1.14134,141340,1.14074,140740,1.1409,140900
2019-02-05 21.30.00.000,1.14092,140920,1.14092,140920,1.14065,140650,1.1407,140700
2019-02-05 21.45.00.000,1.14071,140710,1.14072,140720,1.1402,140200,1.14025,140250
2019-02-05 22.00.00.000,1.14026,140260,1.14042,140420,1.14012,140120,1.14042,140420
2019-02-05 22.15.00.000,1.14023,140230,1.14046,140460,1.14023,140230,1.14037,140370
2019-02-05 22.30.00.000,1.14038,140380,1.14062,140620,1.14038,140380,1.14058,140580
2019-02-05 22.45.00.000,1.14057,140570,1.14059,140590,1.14033,140330,1.14033,140330
2019-02-05 23.00.00.000,1.14032,140320,1.1406,140600,1.14032,140320,1.1404,140400
2019-02-05 23.15.00.000,1.14046,140460,1.14057,140570,1.1404,140400,1.14046,140460
2019-02-05 23.30.00.000,1.14045,140450,1.14061,140610,1.14041,140410,1.14061,140610
2019-02-05 23.45.00.000,1.14062,140620,1.14077,140770,1.14058,140580,1.14073,140730
2019-02-06 00.00.00.000,1.14074,140740,1.14092,140920,1.14062,140620,1.14086,140860
2019-02-06 00.15.00.000,1.14083,140830,1.14089,140890,1.14036,140360,1.14064,140640
2019-02-06 00.30.00.000,1.14063,140630,1.14083,140830,1.14059,140590,1.14079,140790
2019-02-06 00.45.00.000,1.14078,140780,1.14084,140840,1.14067,140670,1.14067,140670
2019-02-06 01.00.00.000,1.14068,140680,1.14082,140820,1.1406,140600,1.14064,140640
2019-02-06 01.15.00.000,1.14063,140630,1.14069,140690,1.14043,140430,1.14049,140490
2019-02-06 01.30.00.000,1.1405,140500,1.14051,140510,1.14014,140140,1.14024,140240
2019-02-06 01.45.00.000,1.14026,140260,1.14026,140260,1.13976,139760,1.14022,140220
2019-02-06 02.00.00.000,1.14019,140190,1.14021,140210,1.13991,139910,1.1401,140100
2019-02-06 02.15.00.000,1.14011,140110,1.14015,140150,1.13959,139590,1.13977,139770
2019-02-06 02.30.00.000,1.13976,139760,1.14063,140630,1.1397,139700,1.14061,140610
2019-02-06 02.45.00.000,1.1406,140600,1.1406,140600,1.14009,140090,1.14014,140140
2019-02-06 03.00.00.000,1.14016,140160,1.14034,140340,1.14014,140140,1.14027,140270
2019-02-06 03.15.00.000,1.14028,140280,1.14028,140280,1.13998,139980,1.14002,140020
2019-02-06 03.30.00.000,1.14,140000,1.14011,140110,1.13994,139940,1.13999,139990
2019-02-06 03.45.00.000,1.13998,139980,1.14001,140010,1.13977,139770,1.13977,139770
2019-02-06 04.00.00.000,1.13976,139760,1.13991,139910,1.13963,139630,1.13981,139810
2019-02-06 04.15.00.000,1.13982,139820,1.14007,140070,1.13982,139820,1.13997,139970
2019-02-06 04.30.00.000,1.13996,139960,1.14009,140090,1.13995,139950,1.14005,140050
2019-02-06 04.45.00.000,1.14001,140010,1.14014,140140,1.13993,139930,1.13998,139980
2019-02-06 05.00.00.000,1.13997,139970,1.14016,140160,1.1399,139900,1.14011,140110
2019-02-06 05.15.00.000,1.14012,140120,1.14021,140210,1.1401,140100,1.14018,140180
2019-02-06 05.30.00.000,1.14019,140190,1.14019,140190,1.13999,139990,1.14003,140030
2019-02-06 05.45.00.000,1.13999,139990,1.14009,140090,1.13989,139890,1.13991,139910
2019-02-06 06.00.00.000,1.13992,139920,1.13994,139940,1.13958,139580,1.13965,139650
2019-02-06 06.15.00.000,1.13967,139670,1.13979,139790,1.13934,139340,1.13945,139450
2019-02-06 06.30.00.000,1.13946,139460,1.13946,139460,1.1392,139200,1.13935,139350
2019-02-06 06.45.00.000,1.13933,139330,1.13937,139370,1.13919,139190,1.13922,139220
2019-02-06 07.00.00.000,1.13921,139210,1.13936,139360,1.13875,138750,1.13899,138990
2019-02-06 07.15.00.000,1.13898,138980,1.13899,138990,1.138,138000,1.13855,138550
2019-02-06 07.30.00.000,1.13856,138560,1.13858,138580,1.13824,138240,1.13849,138490
2019-02-06 07.45.00.000,1.13852,138520,1.13876,138760,1.13829,138290,1.13851,138510
2019-02-06 08.00.00.000,1.1385,138500,1.13901,139010,1.13843,138430,1.13891,138910
2019-02-06 08.15.00.000,1.13889,138890,1.13891,138910,1.13818,138180,1.13836,138360
2019-02-06 08.30.00.000,1.13837,138370,1.13911,139110,1.13837,138370,1.13899,138990
2019-02-06 08.45.00.000,1.13902,139020,1.13941,139410,1.13889,138890,1.1394,139400
2019-02-06 09.00.00.000,1.13942,139420,1.1395,139500,1.1391,139100,1.13911,139110
2019-02-06 09.15.00.000,1.13913,139130,1.13954,139540,1.13911,139110,1.13952,139520
2019-02-06 09.30.00.000,1.13953,139530,1.13953,139530,1.13903,139030,1.1393,139300
2019-02-06 09.45.00.000,1.13928,139280,1.13929,139290,1.13889,138890,1.13894,138940
2019-02-06 10.00.00.000,1.13893,138930,1.13907,139070,1.1388,138800,1.13882,138820
2019-02-06 10.15.00.000,1.13881,138810,1.13927,139270,1.13869,138690,1.13921,139210
2019-02-06 10.30.00.000,1.1392,139200,1.13933,139330,1.139,139000,1.13928,139280
2019-02-06 10.45.00.000,1.1393,139300,1.13959,139590,1.13922,139220,1.13941,139410
2019-02-06 11.00.00.000,1.1394,139400,1.13985,139850,1.13934,139340,1.13965,139650
2019-02-06 11.15.00.000,1.13966,139660,1.13969,139690,1.13868,138680,1.1388,138800
2019-02-06 11.30.00.000,1.13881,138810,1.13891,138910,1.13855,138550,1.13862,138620
2019-02-06 11.45.00.000,1.1386,138600,1.13888,138880,1.13849,138490,1.13866,138660
2019-02-06 12.00.00.000,1.13864,138640,1.13868,138680,1.13829,138290,1.13845,138450
2019-02-06 12.15.00.000,1.13844,138440,1.13872,138720,1.13837,138370,1.13866,138660
2019-02-06 12.30.00.000,1.1387,138700,1.13902,139020,1.13862,138620,1.13898,138980
2019-02-06 12.45.00.000,1.13897,138970,1.13918,139180,1.13887,138870,1.13898,138980
2019-02-06 13.00.00.000,1.13899,138990,1.1395,139500,1.13881,138810,1.13915,139150
2019-02-06 13.15.00.000,1.13917,139170,1.13951,139510,1.13917,139170,1.1394,139400
2019-02-06 13.30.00.000,1.13941,139410,1.13953,139530,1.13915,139150,1.13933,139330
2019-02-06 13.45.00.000,1.13934,139340,1.13935,139350,1.1388,138800,1.13909,139090
2019-02-06 14.00.00.000,1.1391,139100,1.13915,139150,1.1386,138600,1.13865,138650
2019-02-06 14.15.00.000,1.1387,138700,1.13899,138990,1.13815,138150,1.13868,138680
2019-02-06 14.30.00.000,1.13867,138670,1.13891,138910,1.13844,138440,1.13865,138650
2019-02-06 14.45.00.000,1.13867,138670,1.13889,138890,1.13819,138190,1.13865,138650
2019-02-06 15.00.00.000,1.13868,138680,1.13869,138690,1.1382,138200,1.13829,138290
2019-02-06 15.15.00.000,1.1383,138300,1.1385,138500,1.13795,137950,1.13845,138450
2019-02-06 15.30.00.000,1.13844,138440,1.13861,138610,1.1383,138300,1.13847,138470
2019-02-06 15.45.00.000,1.13845,138450,1.13845,138450,1.13795,137950,1.13821,138210
2019-02-06 16.00.00.000,1.13822,138220,1.13837,138370,1.13749,137490,1.13769,137690
2019-02-06 16.15.00.000,1.1377,137700,1.13822,138220,1.13746,137460,1.13784,137840
2019-02-06 16.30.00.000,1.13785,137850,1.13811,138110,1.13762,137620,1.1377,137700
2019-02-06 16.45.00.000,1.13771,137710,1.13808,138080,1.13765,137650,1.13774,137740
2019-02-06 17.00.00.000,1.1378,137800,1.13803,138030,1.13758,137580,1.13796,137960
2019-02-06 17.15.00.000,1.13797,137970,1.13818,138180,1.13786,137860,1.13796,137960
2019-02-06 17.30.00.000,1.13795,137950,1.13806,138060,1.13759,137590,1.13773,137730
2019-02-06 17.45.00.000,1.13771,137710,1.13791,137910,1.13755,137550,1.1376,137600
2019-02-06 18.00.00.000,1.13761,137610,1.13779,137790,1.13743,137430,1.13752,137520
2019-02-06 18.15.00.000,1.13751,137510,1.13757,137570,1.1367,136700,1.13672,136720
2019-02-06 18.30.00.000,1.13674,136740,1.13695,136950,1.13641,136410,1.13688,136880
2019-02-06 18.45.00.000,1.1369,136900,1.13691,136910,1.13658,136580,1.13668,136680
2019-02-06 19.00.00.000,1.13669,136690,1.13677,136770,1.13651,136510,1.13659,136590
2019-02-06 19.15.00.000,1.1366,136600,1.13661,136610,1.13636,136360,1.13636,136360
2019-02-06 19.30.00.000,1.13635,136350,1.13639,136390,1.13623,136230,1.13625,136250
2019-02-06 19.45.00.000,1.13623,136230,1.13651,136510,1.13619,136190,1.13639,136390
2019-02-06 20.00.00.000,1.13638,136380,1.13653,136530,1.1363,136300,1.13641,136410
2019-02-06 20.15.00.000,1.1364,136400,1.13648,136480,1.13629,136290,1.13637,136370
2019-02-06 20.30.00.000,1.13638,136380,1.13659,136590,1.13634,136340,1.13655,136550
2019-02-06 20.45.00.000,1.13657,136570,1.13673,136730,1.13652,136520,1.13668,136680
2019-02-06 21.00.00.000,1.13667,136670,1.13695,136950,1.13665,136650,1.13681,136810
2019-02-06 21.15.00.000,1.13676,136760,1.13676,136760,1.13651,136510,1.13666,136660
2019-02-06 21.30.00.000,1.13665,136650,1.13671,136710,1.1365,136500,1.13654,136540
2019-02-06 21.45.00.000,1.13655,136550,1.13655,136550,1.13639,136390,1.13653,136530
2019-02-06 22.00.00.000,1.13652,136520,1.13656,136560,1.13606,136060,1.13614,136140
2019-02-06 22.15.00.000,1.13626,136260,1.13641,136410,1.13619,136190,1.13623,136230
2019-02-06 22.30.00.000,1.13625,136250,1.13654,136540,1.13623,136230,1.13629,136290
2019-02-06 22.45.00.000,1.13632,136320,1.13659,136590,1.13625,136250,1.13647,136470
2019-02-06 23.00.00.000,1.13649,136490,1.1367,136700,1.13645,136450,1.1367,136700
2019-02-06 23.15.00.000,1.13667,136670,1.13678,136780,1.13653,136530,1.13676,136760
2019-02-06 23.30.00.000,1.13675,136750,1.13682,136820,1.1367,136700,1.13676,136760
2019-02-06 23.45.00.000,1.13675,136750,1.13681,136810,1.13671,136710,1.13675,136750
2019-02-07 00.00.00.000,1.13674,136740,1.13681,136810,1.13649,136490,1.13654,136540
2019-02-07 00.15.00.000,1.13655,136550,1.13674,136740,1.13643,136430,1.13668,136680
